Neurog3>0_raw,Neurog3>0_scaled,cell,cell_ontology_class,cell_ontology_id,cluster.ids,free_annotation,mouse.id,mouse.sex,plate.barcode,subsetA,subsetA_cluster.ids,subsetB,subsetB_cluster.ids,subsetC,subsetC_cluster.ids,subsetD,subsetD_cluster.ids,subsetE,subsetE_cluster.ids,subtissue,tissue,tissue_tSNE_1,tissue_tSNE_2
,,L20.MAA000901.3_10_M.1.1,cardiac neuron,CL:0010022,11,conduction cells,3_10_M,M,MAA000901,False,,,,,,,,,,RV,Heart,28.50342326852239,-16.077021922143146
,,L20.MAA000903.3_11_M.1.1,leukocyte,CL:0000738,4,leukocyte,3_11_M,M,MAA000903,False,,,,,,,,,,RA,Heart,8.337492275069621,-23.143670220250197
,,L20.MAA000918.3_10_M.1.1,leukocyte,CL:0000738,4,leukocyte,3_10_M,M,MAA000918,False,,,,,,,,,,LV,Heart,16.85586383207309,-22.83084328699854
,,L20.MAA000919.3_10_M.1.1,fibroblast,CL:0000057,1,fibroblast,3_10_M,M,MAA000919,False,,,,,,,,,,LA,Heart,32.76544433355511,20.829492027863107
,,L20.MAA000936.3_9_M.1.1,leukocyte,CL:0000738,4,leukocyte,3_9_M,M,MAA000936,False,,,,,,,,,,RA,Heart,10.48506179856591,-27.12423229892643
,,L21.B002010.3_39_F.1.1,fibroblast,CL:0000057,1,fibroblast,3_39_F,F,B002010,False,,,,,,,,,,RA,Heart,27.161288838724502,16.61556848053716
,,L21.B002423.3_39_F.1.1,fibroblast,CL:0000057,0,fibroblast,3_39_F,F,B002423,False,,,,,,,,,,RV,Heart,2.0858842347324558,3.2908618410411714
,,L21.B002427.3_39_F.1.1,fibroblast,CL:0000057,3,fibroblast,3_39_F,F,B002427,False,,,,,,,,,,LA,Heart,-4.296561471708989,-15.16949349613891
,,L21.B002428.3_38_F.1.1,fibroblast,CL:0000057,3,fibroblast,3_38_F,F,B002428,False,,,,,,,,,,LA,Heart,-3.001064745746408,-7.7100154431997385
,,L21.B002429.3_38_F.1.1,endothelial cell,CL:0000115,6,endothelial cell,3_38_F,F,B002429,False,,,,,,,,,,LV,Heart,-20.61822485065936,-15.065727929581056
